Country,INFORM CC Risk Index 2022
Afghanistan,8
Albania,2.6
Algeria,3.9
Angola,4.5
Antigua and Barbuda,2
Argentina,2.9
Armenia,5.3
Australia,2.4
Austria,1.9
Azerbaijan,5.8
Bahamas,1.9
Bahrain,1.1
Bangladesh,5.5
Barbados,1.8
Belarus,1.4
Belgium,1.9
Belize,3.3
Benin,4.1
Bhutan,3.2
Bolivia,3.5
Bosnia and Herzegovina,3.1
Botswana,2.9
Brazil,5
Brunei Darussalam,1.9
Bulgaria,2.2
Burkina Faso,6.4
Burundi,5.1
Cabo Verde,1.9
Cambodia,4.6
Cameroon,6.2
Canada,2.5
Central African Republic,7.7
Chad,7.8
Chile,3.3
China,3.9
Colombia,5.4
Comoros,3.8
Congo,5.2
Congo DR,7.6
Costa Rica,3.2
C“te d'Ivoire,4.7
Croatia,2.2
Cuba,2.4
Cyprus,2.6
Czech Republic,1.2
Denmark,1.4
Djibouti,4.4
Dominica,2.6
Dominican Republic,4.2
Ecuador,4.4
Egypt,4.8
El Salvador,4.3
Equatorial Guinea,3.8
Eritrea,4
Estonia,1
Eswatini,3.3
Ethiopia,6.8
Fiji,3.2
Finland,1.3
France,2.4
Gabon,3.7
Gambia,3.6
Georgia,3.1
Germany,2.4
Ghana,4
Greece,2.7
Grenada,1.7
Guatemala,5.1
Guinea,4.4
Guinea-Bissau,4.1
Guyana,4.3
Haiti,5.5
Honduras,4.9
Hungary,1.5
Iceland,1.3
India,5.5
Indonesia,4.4
Iran,4.3
Iraq,6.6
Ireland,1.7
Israel,2.6
Italy,2.5
Jamaica,3
Japan,2.3
Jordan,3.5
Kazakhstan,1.6
Kenya,4.6
Kiribati,3
Korea DPR,4.6
Korea Republic of,2.1
Kuwait,1.7
Kyrgyzstan,2.7
Lao PDR,4
Latvia,1.3
Lebanon,3.9
Lesotho,3
Liberia,5.3
Libya,6.2
Liechtenstein,1.1
Lithuania,1.4
Luxembourg,1.1
Madagascar,5.2
Malawi,4.5
Malaysia,3.4
Maldives,2.1
Mali,6.9
Malta,1.5
Marshall Islands,3.1
Mauritania,4.6
Mauritius,2.1
Mexico,5
Micronesia,2.9
Moldova Republic of,2.3
Mongolia,2.4
Montenegro,2.2
Morocco,3.5
Mozambique,7.2
Myanmar,6.2
Namibia,3.2
Nauru,2.4
Nepal,4.5
Netherlands,2
New Zealand,1.6
Nicaragua,4.3
Niger,7.3
Nigeria,6.6
North Macedonia,2.1
Norway,1.9
Oman,2.4
Pakistan,6
Palau,2.5
Palestine,3.4
Panama,3.8
Papua New Guinea,5.5
Paraguay,2.7
Peru,4.5
Philippines,5.3
Poland,1.7
Portugal,1.7
Qatar,1.2
Romania,2.1
Russian Federation,3.3
Rwanda,4.7
Saint Kitts and Nevis,1.9
Saint Lucia,1.9
Saint Vincent and the Grenadines,2.4
Samoa,3
Sao Tome and Principe,1.9
Saudi Arabia,2.1
Senegal,4.5
Serbia,2.4
Seychelles,1.8
Sierra Leone,4.7
Singapore,0.6
Slovakia,1.5
Slovenia,1.3
Solomon Islands,4.1
Somalia,8.8
South Africa,3.7
South Sudan,8.5
Spain,2.2
Sri Lanka,3.4
Sudan,6.4
Suriname,3.5
Sweden,1.8
Switzerland,1.5
Syria,7
Tajikistan,3.4
Tanzania,4.9
Thailand,4.1
Timor-Leste,4.5
Togo,4.1
Tonga,3.2
Trinidad and Tobago,2.6
Tunisia,3
Turkey,4.9
Turkmenistan,2
Tuvalu,2.7
Uganda,6.2
Ukraine,4.5
United Arab Emirates,1.6
United Kingdom,2
United States of America,3.1
Uruguay,2.1
Uzbekistan,2.5
Vanuatu,4
Venezuela,4.2
Viet Nam,3.7
Yemen,8.1
Zambia,4.2
Zimbabwe,4.4
